Task_ID,Type,Success_Rate,Delay,Decision,Queue_Load_Avg,Jensen_Gap
1,BeautyCam,100.0,0.8827968963710146,Local,0.4964054982761225,0.0
2,AR,50.0,3.347003201914286,Local,0.9893648927705406,10.423100073382187
3,BeautyCam,66.66666666666666,1.4246986772790504,Offload,1.1299251620888568,-2.443035896822909
4,AR,50.0,2.252320068794936,Offload,1.3914661524270715,1.5203505364232321
5,AR,40.0,1.8002387975899565,Offload,1.547987498423599,-0.6665017864965632
6,AR,33.33333333333333,2.1138971612617588,Offload,1.8658926090411476,0.6994824858255142
7,BeautyCam,42.857142857142854,0.6236583651350341,Local,1.7625381064617287,-3.4925772563625754
8,AR,37.5,1.8000216434081535,Offload,1.873326762925604,0.07949838796694131
9,AR,33.33333333333333,4.243801982435648,Offload,2.2793279879105026,14.839392439245994
10,AR,30.0,2.0043637609594,Offload,2.1188823107895898,-0.20255424823111667
11,BeautyCam,36.36363636363637,1.504415642359778,Local,2.1486644962281267,-1.9362823209544655
12,BeautyCam,41.66666666666667,2.324282556947262,Local,2.228481811804742,1.4033016322982843
13,BeautyCam,46.15384615384615,2.4165512138688405,Offload,2.1691048180055437,1.731835729924451
14,BeautyCam,42.857142857142854,2.5837017198703185,Offload,1.9525590638819739,2.445199097327997
15,BeautyCam,46.666666666666664,2.035869999788158,Local,1.9919290642638465,-0.24179008918803468
16,BeautyCam,50.0,1.6985596100163356,Local,1.3592843028223829,-1.4851194197842617
17,BeautyCam,52.94117647058824,1.311893427181784,Local,1.3488523467443732,-2.547338456054109
18,BeautyCam,55.55555555555556,1.0730068565297315,Offload,1.1771385176348725,-2.9357308890086067
19,AR,52.63157894736842,2.129819103684278,Offload,1.502221383693179,0.6593693413273707
20,BeautyCam,55.00000000000001,0.8847958729603638,Local,1.453620935236625,-3.127309610316598
21,BeautyCam,57.14285714285714,2.099905800146314,Local,1.3916825525474124,0.7125028750172309
22,BeautyCam,59.09090909090909,1.4301427704846776,Offload,1.3542821993600265,-1.684299099706069
23,BeautyCam,56.52173913043478,3.372977523543999,Offload,1.647970971553462,7.734822841200234
24,AR,54.166666666666664,2.1343543285935533,Offload,1.76239975843312,0.6662175102521322
25,AR,52.0,2.513785227191711,Local,1.9192432130886385,2.403157208143411
26,BeautyCam,53.84615384615385,1.9618875066533836,Local,1.4589270565459949,-0.15209543991182883
27,AR,51.85185185185185,2.620100632145671,Local,1.7291607573650396,2.8697336140832115
28,AR,50.0,0.892524505535988,Offload,1.3904407058027153,-3.2911127398294835
29,BeautyCam,51.724137931034484,2.067292574334902,Offload,1.2301976982785032,0.34744481807826455
30,BeautyCam,53.333333333333336,1.3053585824334026,Local,1.160086553209346,-2.234028415526521
31,BeautyCam,54.83870967741935,1.7246348701013505,Local,1.2240307356931879,-0.8742972065165517
32,AR,56.25,0.6152525974463494,Offload,1.1320758388083678,-3.440167835462484
33,AR,54.54545454545454,1.3937612767685243,Offload,1.1751568549869926,-1.714358259851833
34,BeautyCam,55.88235294117647,2.2208158126357,Offload,1.194923212240882,1.3349457101271174
35,BeautyCam,57.14285714285714,1.0346747964637468,Local,1.0156075716570623,-2.562787554742182
36,BeautyCam,55.55555555555556,2.7670858636946454,Local,1.3238824252926584,4.117725462774921
37,AR,54.054054054054056,1.3886180293079309,Offload,1.428877371919311,-1.7039672629460514
38,AR,52.63157894736842,2.0259636356540938,Local,1.2859817995629852,0.5253893563558703
39,BeautyCam,53.84615384615385,1.8650769984712314,Local,1.072394271665456,-0.1139923278949766
40,AR,52.5,1.7792040466911612,Offload,1.2718719538964949,-0.42399166079459505
41,AR,51.21951219512195,1.4566937260542445,Offload,1.4256831692480056,-1.456677640948195
42,BeautyCam,52.38095238095239,1.3014906967907853,Offload,1.2834061328901376,-1.844724112285496
43,AR,51.162790697674424,1.367521270697337,Offload,0.9386490465746119,-1.6167569619284041
44,BeautyCam,52.27272727272727,2.4931596189944023,Local,1.1947338300248618,2.7722465949159316
45,AR,51.11111111111111,2.470642583971778,Local,1.3901197515332568,2.6064965086669134
46,BeautyCam,50.0,2.6863316523587226,Local,1.5613721920987849,3.668711585942306
47,AR,48.93617021276596,1.3542290213205532,Offload,1.747496384799737,-1.779778261634089
48,BeautyCam,50.0,2.319551303840216,Local,1.369881012815242,1.8106963344952045
49,BeautyCam,51.02040816326531,0.9414562138264071,Local,1.3508381915199588,-2.717229490530115
50,BeautyCam,52.0,1.9231930895190015,Offload,1.1623362523001282,0.1688596698407463
51,AR,50.98039215686274,2.923229891218722,Local,0.6965314690402968,5.012122476291365
52,AR,50.0,2.956157100054209,Offload,1.2005456073836853,5.128372049663184
53,BeautyCam,50.943396226415096,1.5696964981393235,Offload,1.1329950676965124,-1.2241345801729913
54,BeautyCam,51.85185185185185,0.8687801497264247,Local,1.1456310985091167,-2.907928520739301
55,BeautyCam,52.72727272727272,0.2868980380180156,Local,1.1245344408775069,-3.5066967473494066
56,AR,51.78571428571429,2.954210927801502,Offload,1.4747760267739807,5.24824569298411
57,BeautyCam,52.63157894736842,0.32627947691853404,Local,1.459705741420503,-3.445578964010962
58,AR,51.724137931034484,0.9497466735682566,Offload,1.3891152457178928,-2.5477097627384078
59,BeautyCam,52.54237288135594,0.27394893661444303,Local,1.3521481999987512,-3.316797017349138
60,AR,51.66666666666667,1.5683258379934109,Offload,1.4449309928651293,-0.8350301122713595
61,AR,50.81967213114754,2.1889050579607496,Offload,1.4611988048269673,1.5115447132320408
62,AR,50.0,1.7668942133148815,Offload,1.0279979590516557,-0.1803222293157667
63,AR,49.2063492063492,1.9855109281801333,Offload,1.2991927881469796,0.6429648470321512
64,AR,50.0,0.7716846267454659,Offload,1.3229997556988908,-2.7135506585648006
65,AR,49.23076923076923,4.1676649590874755,Offload,1.5485058111013115,14.119655953982441
66,AR,50.0,0.34168242722534986,Offload,1.0903335351542554,-3.265531541095009
67,AR,49.25373134328358,2.1069583789626756,Offload,1.3772069283057753,1.1399316880799466
68,BeautyCam,50.0,0.6473098322281157,Local,1.4158140695987471,-2.8961046316539685
69,AR,49.275362318840585,0.8681858619349951,Local,1.2906203439256645,-2.4988266815097537
70,AR,50.0,0.4496737196396416,Local,0.8662016220675113,-3.0016576297502247
71,AR,49.29577464788733,2.627935324972556,Offload,1.209664180395412,3.7703556186347504
72,BeautyCam,50.0,0.12262210330130657,Local,1.1557461784728997,-3.1635536985357358
73,AR,49.31506849315068,4.914573954670396,Local,1.9150695527462986,21.05613700592824
74,BeautyCam,48.64864864864865,3.061467787804945,Local,1.8445993698454395,6.121713872121141
75,BeautyCam,49.333333333333336,1.9172769452642964,Offload,1.8968917814846822,0.36346599260621204
76,AR,48.68421052631579,2.1827656933539594,Offload,2.2448582396702674,1.4472593953728445
77,AR,48.05194805194805,2.829413449413322,Offload,1.9312788907415015,4.671027272338046
78,BeautyCam,47.43589743589743,3.4376685586168376,Offload,1.9917623286051718,8.435253288674971
79,BeautyCam,48.10126582278481,0.4294586601642043,Local,1.932402277036267,-3.2736798255689203
80,BeautyCam,47.5,2.8150228396636727,Local,1.8890060213666302,4.533240236373506
81,AR,46.913580246913575,2.1982281924926133,Local,2.0453511278218484,1.3961271384955931
82,BeautyCam,47.5609756097561,2.0377389256332488,Local,1.8679796131721091,0.7005113603603359
83,AR,46.98795180722892,1.6448202771376566,Offload,1.8421940511267443,-0.7545881296933334
84,BeautyCam,47.61904761904761,1.7719978579600637,Local,1.7205447536696243,-0.31040232284114166
85,BeautyCam,47.05882352941176,3.276834277705749,Local,1.7375358969692045,7.291045452150747
86,AR,46.51162790697674,5.853499116336824,Offload,2.5413591369750805,30.754531727297845
87,AR,45.97701149425287,2.340017591052135,Offload,2.7052567262566165,1.7912266007347517
88,AR,45.45454545454545,2.4520688956418555,Offload,2.274931477928155,2.3096066164701563
89,AR,44.9438202247191,1.885865101477012,Offload,2.1482314413499104,-0.16966466519322676
90,BeautyCam,44.44444444444444,2.5641442805107197,Local,2.1912526984020384,2.8506123493273163
91,BeautyCam,45.05494505494506,0.6057009692772172,Local,2.0944395380827903,-3.3846023417158024
92,AR,44.565217391304344,1.504940415039611,Local,2.192154924490718,-1.430178178430534
93,BeautyCam,44.086021505376344,2.801150054872518,Offload,2.016054718120606,4.16883549435508
94,BeautyCam,44.680851063829785,2.4356812383012345,Offload,1.880614986183265,2.21841267126485
95,BeautyCam,45.26315789473684,1.0624987231441334,Local,1.7568095203156162,-2.606105802095976
96,BeautyCam,45.83333333333333,1.1398054403492335,Local,1.7228606787765308,-2.400534555134153
97,AR,45.36082474226804,1.0372262374717327,Offload,1.4686369767881957,-2.5925168019401608
98,AR,44.89795918367347,1.8331396238666622,Offload,1.4352409702347653,-0.2733606518206053
99,BeautyCam,45.45454545454545,1.1537249667204974,Local,1.2988393621834906,-2.299836864272641
100,AR,45.0,3.7442378410931165,Offload,1.7250672446189097,10.417280555647878
101,BeautyCam,45.54455445544555,1.4323473200674834,Offload,1.624171130967032,-1.6208417933914512
102,AR,46.07843137254902,0.672971729994092,Offload,1.5986202962107547,-3.2012251662666027
103,AR,45.63106796116505,7.149757369219232,Local,2.5025698235136895,47.511191978158536
104,BeautyCam,45.19230769230769,3.7364980196454205,Local,2.9835591469547076,10.15733727885253
